iter	Logloss
0	0.673326883
1	0.6598873272
2	0.6509163384
3	0.6444956327
4	0.6361296205
5	0.6325028439
6	0.6277490785
7	0.6257809417
8	0.6230829939
9	0.6210016173
10	0.6201707434
11	0.6187854909
12	0.617777383
13	0.6170450918
14	0.616785826
15	0.6164256402
16	0.6160763844
17	0.6155146993
18	0.6153068546
19	0.6150535483
20	0.6148468517
21	0.614691145
22	0.6145350885
23	0.6144216166
24	0.6143529501
25	0.6143263105
26	0.6141292671
27	0.6140649816
28	0.6140535848
29	0.6139837623
30	0.6139375095
31	0.61390063
32	0.6138457109
33	0.6138032146
34	0.6136639654
35	0.6135759662
36	0.613568178
37	0.6135433713
38	0.6135203632
39	0.6135111105
40	0.6134901624
41	0.6134690838
42	0.6134540629
43	0.6133842818
44	0.613365141
45	0.6133503563
46	0.613337722
47	0.6133326858
48	0.6133300989
49	0.6133055777
50	0.6133052757
51	0.6133001324
52	0.6132614588
53	0.6132471527
54	0.6132163825
55	0.6132153311
56	0.6131949503
57	0.6131873293
58	0.6131786852
59	0.6131719007
60	0.6131653067
61	0.6131461576
62	0.6131391971
63	0.6131370708
64	0.6131177373
65	0.6131119028
66	0.6131114879
67	0.6130978704
68	0.6130763912
69	0.6130608449
70	0.6130443426
71	0.613042302
72	0.6130413519
73	0.6130190905
74	0.6130190905
75	0.6130111311
76	0.6130003725
77	0.612990563
78	0.612979399
79	0.6129645622
80	0.6129528866
81	0.6129436971
82	0.6129286282
83	0.6129183325
84	0.6128648578
85	0.6128627616
86	0.6128318731
87	0.6128313959
88	0.6128313958
89	0.6128287461
90	0.6128287461
91	0.6128131362
92	0.6128131362
93	0.6128131215
94	0.6128119543
95	0.6127723321
96	0.6127711994
97	0.6127686542
98	0.6127195788
99	0.6127195172
100	0.6127138174
101	0.6127072119
102	0.61269971
103	0.612660203
104	0.6126451295
105	0.6126406849
106	0.6126376488
107	0.6125952767
108	0.6125889632
109	0.6125856742
110	0.6125756888
111	0.6125690085
112	0.6125690083
113	0.6125687257
114	0.6125678388
115	0.6125649191
116	0.6125489097
