iter	Passed	Remaining
0	351	350775
1	702	350606
2	941	312916
3	1288	320903
4	1450	288643
5	1700	281664
6	1765	250399
7	1915	237504
8	2078	228864
9	2139	211763
10	2226	200207
11	2341	192745
12	2431	184613
13	2512	176931
14	2718	178502
15	2864	176139
16	3008	173961
17	3124	170443
18	3260	168360
19	3338	163570
20	3441	160445
21	3613	160615
22	3763	159877
23	3894	158364
24	4120	160699
25	4394	164619
26	4710	169764
27	4987	173136
28	5138	172046
29	5298	171324
30	5555	173642
31	5647	170823
32	5901	172928
33	6276	178312
34	6530	180051
35	6774	181394
36	6933	180453
37	7222	182839
38	7415	182727
39	7631	183160
40	7947	185898
41	8131	185483
42	8432	187678
43	8683	188668
44	8851	187857
45	8999	186632
46	9159	185727
47	9433	187104
48	9601	186342
49	9895	188018
50	9959	185333
51	10096	184061
52	10457	186861
53	10736	188083
54	10935	187889
55	11205	188896
56	11455	189523
57	11722	190388
58	11859	189143
59	11936	187005
60	12078	185924
61	12437	188169
62	12775	190003
63	12942	189286
64	13075	188089
65	13344	188845
66	13423	186932
67	13554	185776
68	13908	187666
69	14200	188669
70	14540	190253
71	14776	190457
72	14879	188943
73	15155	189646
74	15210	187595
75	15432	187621
76	15623	187276
77	15763	186335
78	16132	188081
79	16398	188577
80	16679	189243
81	17051	190894
82	17441	192701
83	17820	194327
84	18214	196073
85	18448	196072
86	18775	197030
87	19017	197093
88	19078	195291
89	19204	194177
90	19270	192491
91	19516	192619
92	19589	191054
93	19740	190266
94	19978	190321
95	20273	190907
96	20636	192115
97	20898	192349
98	21339	194212
99	21518	193663
100	21809	194124
101	22036	194010
102	22291	194129
103	22609	194790
104	22855	194819
105	22987	193872
106	23227	193853
107	23530	194343
108	23804	194587
109	24044	194541
110	24168	193566
111	24279	192498
112	24342	191074
113	24409	189707
114	24528	188765
115	24837	189278
116	25093	189381
